序号	所属市	区县名称	"行政区域土地面积
(平方公里)（中国区域统计年鉴）"	市辖区与非市辖区面积（中国区域统计年鉴）	市级土地面积(平方公里)（中国区域统计年鉴）	市级土地面积（中国城市统计年鉴）	年末常住人口(万人) (湖南统计年鉴)	年末常住人口(万人) (湖南统计年鉴)	"年底总人口
(万人)（中国区域统计年鉴）"	"地区生产总值
(万元)（湖南省统计年鉴）"	"地区生产总值
(万元)（湖南省统计年鉴）"	用于计算人均GDP的人口数（万人）	用于计算人均GDP的人口数（万人）	人均GDP（湖南省统计年鉴)	人均GDP（湖南省统计年鉴)	地区生产总值(万元)（中国区域统计年鉴）	第一产业（湖南省统计年鉴）	第一产业（湖南省统计年鉴）	第一产业（中国区域统计年鉴）	第二产业（湖南统计年鉴）	第二产业（湖南统计年鉴）	第二产业（中国区域统计年鉴）	工业（湖南统计年鉴）	工业（湖南统计年鉴）	工业（中国区域统计年鉴）	第三产业（湖南统计年鉴）	第三产业（湖南统计年鉴）	第三产业（中国区域统计年鉴 	人均GDP（湖南省统计年鉴)	人均地区生产总值(元/人)（中国区域统计年鉴）
87	郴州市	安仁县	1462				38.27 	38.27 	42.78	343095 	343095 	37.4109 	37.4109 	9171 	9171 	343095	108465 	108465 	108465	110283 	110283 	110283	86626 	86626 	86626	124347 	124347 	124347	9171 	9171
88	郴州市	资兴市	2747				33.73 	33.73 	37.43	1561434 	1561434 	34.5397 	34.5397 	45207 	45207 	1561434	140358 	140358 	140358	1061588 	1061588 	1061588	993078 	993078 	993078	359488 	359488 	359488	45207 	45207
89	永州市	零陵区	3177 	3177 	22255	22441	53.27 	102.07 		1054711 	2239787 	53.0299 	101.4102 	22086 	19889 		220687 	412046 		484470 	970698 		424372 	838874 		349554 	857043 		19889 	
90	永州市	冷水滩区					48.80 			1185076 		48.3803 			24495 		191359 			486228 			414502 			507489 			24495 	
91	永州市	祁阳县	2538	19078 			85.22 	85.22 	104.99	1285662 	1285662 	86.6407 	86.6407 	14839 	14839 	1285662	287463 	287463 	287463	471588 	471588 	471588	392311 	392311 	392311	526611 	526611 	526611	14839 	14839
92	永州市	东安县	2211				54.68 	54.68 	61.28	836873 	836873 	53.4914 	53.4914 	15645 	15645 	836873	212232 	212232 	212232	326127 	326127 	326127	280633 	280633 	280633	298514 	298514 	298514	15645 	15645
93	永州市	双牌县	1739				16.50 	16.50 	18.32	272826 	272826 	15.7503 	15.7503 	17322 	17322 	272826	89577 	89577 	89577	115130 	115130 	115130	96527 	96527 	96527	68119 	68119 	68119	17322 	17322
94	永州市	道县	2441				60.63 	60.63 	73.98	791643 	791643 	60.3478 	60.3478 	13118 	13118 	791643	241352 	241352 	241352	207858 	207858 	207858	168162 	168162 	168162	342433 	342433 	342433	13118 	13118
95	永州市	江永县	1633				23.23 	23.23 	26.62	290446 	290446 	22.9094 	22.9094 	12678 	12678 	290446	126724 	126724 	126724	75735 	75735 	75735	54212 	54212 	54212	87987 	87987 	87987	12678 	12678
96	永州市	宁远县	2489				70.26 	70.26 	83.37	635523 	635523 	69.8607 	69.8607 	9097 	9097 	635523	181698 	181698 	181698	211162 	211162 	211162	174576 	174576 	174576	242663 	242663 	242663	9097 	9097
97	永州市	蓝山县	1807				32.84 	32.84 	38.79	470041 	470041 	32.1396 	32.1396 	14625 	14625 	470041	96923 	96923 	96923	181392 	181392 	181392	168091 	168091 	168091	191726 	191726 	191726	14625 	14625
98	永州市	新田县	1004				32.90 	32.90 	41.81	340131 	340131 	32.7711 	32.7711 	10379 	10379 	340131	103473 	103473 	103473	91301 	91301 	91301	75105 	75105 	75105	145357 	145357 	145357	10379 	10379
99	永州市	江华瑶族自治县	3216				41.15 	41.15 	48.58	470294 	470294 	41.0917 	41.0917 	11445 	11445 	470294	147074 	147074 	147074	123816 	123816 	123816	108852 	108852 	108852	199404 	199404 	199404	11445 	11445
100	怀化市	鹤城区	772 	772 	27532	27624	55.26 	55.26 		1455768 	1455768 	49.5193 	49.5193 	29398 	29398 		52053 	52053 		457057 	457057 		291144 	291144 		946658 	946658 		29398 	
101	怀化市	中方县	1467	26760 			23.66 	23.66 	27.98	488465 	488465 	22.9704 	22.9704 	21265 	21265 	488465	63336 	63336 	63336	286681 	286681 	286681	268226 	268226 	268226	138448 	138448 	138448	21265 	21265
102	怀化市	沅陵县	5826				58.26 	58.26 	65.04	953636 	953636 	58.2018 	58.2018 	16385 	16385 	953636	102195 	102195 	102195	621098 	621098 	621098	595770 	595770 	595770	230343 	230343 	230343	16385 	16385
103	怀化市	辰溪县	1977				45.36 	45.36 	52.23	531421 	531421 	46.7512 	46.7512 	11367 	11367 	531421	82950 	82950 	82950	230041 	230041 	230041	207395 	207395 	207395	218430 	218430 	218430	11367 	11367
104	怀化市	溆浦县	3440				74.10 	74.10 	89.69	694821 	694821 	75.6391 	75.6391 	9186 	9186 	694821	164559 	164559 	164559	249338 	249338 	249338	220962 	220962 	220962	280924 	280924 	280924	9186 	9186
105	怀化市	会同县	2248				31.87 	31.87 	35.84	309821 	309821 	32.0096 	32.0096 	9679 	9679 	309821	62824 	62824 	62824	75624 	75624 	75624	68586 	68586 	68586	171373 	171373 	171373	9679 	9679
106	怀化市	麻阳苗族自治县	1568				34.33 	34.33 	38.98	323219 	323219 	32.0114 	32.0114 	10097 	10097 	323219	80165 	80165 	80165	106963 	106963 	106963	92670 	92670 	92670	136091 	136091 	136091	10097 	10097
107	怀化市	新晃侗族自治县	1511				24.43 	24.43 	25.99	251016 	251016 	24.5588 	24.5588 	10221 	10221 	251016	36165 	36165 	36165	121673 	121673 	121673	115656 	115656 	115656	93178 	93178 	93178	10221 	10221
108	怀化市	芷江侗族自治县	2099				33.92 	33.92 	37.21	477491 	477491 	33.9392 	33.9392 	14069 	14069 	477491	109446 	109446 	109446	201126 	201126 	201126	195027 	195027 	195027	166919 	166919 	166919	14069 	14069
109	怀化市	靖州苗族侗族自治县	2211				24.51 	24.51 	26.80	343569 	343569 	24.3597 	24.3597 	14104 	14104 	343569	69750 	69750 	69750	121939 	121939 	121939	113463 	113463 	113463	151880 	151880 	151880	14104 	14104
110	怀化市	通道侗族自治县	2239				20.67 	20.67 	22.88	182118 	182118 	20.7093 	20.7093 	8794 	8794 	182118	38812 	38812 	38812	62643 	62643 	62643	59150 	59150 	59150	80663 	80663 	80663	8794 	8794
111	怀化市	洪江市	2174				41.30 	41.30 	43.58	493846 	493846 	40.7901 	40.7901 	12107 	12107 	493846	103485 	103485 	103485	169847 	169847 	169847	157348 	157348 	157348	220514 	220514 	220514	12107 	12107
